IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year,Industry,Price_1W,Price_1M,Price_6M,Price_1Y,Return_1W_pct,Return_1M_pct,Return_6M_pct,Return_1Y_pct,Market Cap Size,Success_Q2
2019-10-25,DAO,"Youdao, Inc.",17.0,8.71,-47.88,1040.0,2019,Education & Training Services,14.83,13.74,20.5,26.5,-12.76,-19.18,20.59,55.88,Mid Cap,1
2019-10-25,PAIYY,Aesthetic Medical International Holdings Group Ltd.,,0.2,,9.61,2019,Medical Care Facilities,8.37,6.63,8.85,5.91,,,,,Small Cap,0
2019-10-25,PGNY,"Progyny, Inc.",13.0,23.4,79.08,2000.0,2019,Healthcare Plans,18.38,25.72,23.38,27.95,41.38,97.85,79.85,115.0,Mid Cap,1
2019-10-25,PHAT,"Phathom Pharmaceuticals, Inc.",19.0,2.59,-86.05,180.04,2019,Biotechnology,23.78,24.55,33.29,39.8,25.16,29.21,75.21,109.47,Small Cap,1
2019-10-24,BWIN,"The Baldwin Insurance Group, Inc.",,40.69,,4870.0,2019,Insurance Brokers,15.75,16.89,9.34,26.63,,,,,Large Cap,0
2019-10-17,BRBR,"BellRing Brands, Inc.",14.0,78.39,459.93,10060.0,2019,Packaged Foods,16.3,19.08,17.23,22.64,16.43,36.29,23.07,61.71,Large Cap,1
2019-10-17,IPHA,Innate Pharma S.A.,5.5,2.23,-59.64,187.03,2019,Biotechnology,5.97,6.03,6.89,4.17,8.55,9.64,25.27,-24.18,Small Cap,0
2019-10-11,HBT,"HBT Financial, Inc.",16.0,23.73,47.5,747.39,2019,Banks - Regional,13.05,13.92,9.74,10.28,-18.44,-13.0,-39.12,-35.75,Mid Cap,0
2019-10-11,VIR,"Vir Biotechnology, Inc.",20.0,6.15,-69.7,849.09,2019,Biotechnology,13.66,13.27,29.1,40.89,-31.7,-33.65,45.5,104.45,Mid Cap,1
2019-10-10,BNTX,BioNTech SE,15.0,101.1,579.33,24260.0,2019,Biotechnology,12.83,18.62,45.0,87.88,-14.47,24.13,200.0,485.87,Large Cap,1
2019-10-03,MCBS,"MetroCity Bankshares, Inc.",13.5,28.53,111.33,719.66,2019,Banks - Regional,11.37,12.24,10.02,11.69,-15.78,-9.33,-25.78,-13.41,Mid Cap,0
2019-09-26,OPRT,Oportun Financial Corporation,15.0,5.55,-64.47,200.55,2019,Credit Services,14.42,16.99,11.5,11.22,-3.87,13.27,-23.33,-25.2,Small Cap,0
2019-09-26,PTON,"Peloton Interactive, Inc.",29.0,6.89,-76.02,2690.0,2019,Leisure,22.33,22.4,24.57,97.73,-23.0,-22.76,-15.28,237.0,Large Cap,1
2019-09-19,DDOG,"Datadog, Inc.",27.0,105.7,292.63,36500.0,2019,Software - Application,32.44,31.57,34.12,85.69,20.15,16.93,26.37,217.37,Large Cap,1
2019-09-19,XGN,Exagen Inc.,14.0,6.17,-57.0,110.34,2019,Diagnostics & Research,14.58,13.99,20.82,12.75,4.14,-0.07,48.71,-8.93,Small Cap,0
2019-09-18,IGMS,"IGM Biosciences, Inc.",16.0,1.39,-91.56,83.09,2019,Biotechnology,19.83,19.0,31.51,71.14,23.94,18.75,96.94,344.62,Small Cap,1
