IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year,Industry
"Dec 23, 2020",IKT,"Inhibikase Therapeutics, Inc.",10.0,2.09,-77.5,155.37,2020,Biotechnology
"Dec 23, 2020",VII,"7GC & Co. Holdings, Inc.",10.0,10.96,9.6,99.51,2020,N/A
"Dec 18, 2020",DUNE,Dune Acquisition Corporation,10.0,4.05,-59.5,22.25,2020,N/A
"Dec 18, 2020",GFX,Golden Falcon Acquisition Corp.,10.0,10.23,2.3,131.29,2020,N/A
"Dec 18, 2020",IIII,Insu Acquisition Corp. III,10.0,10.08,0.8,344.07,2020,N/A
"Dec 18, 2020",MASS,908 Devices Inc.,20.0,5.4,-72.45,190.61,2020,Medical Devices
"Dec 18, 2020",MTAC,MedTech Acquisition Corporation,10.0,11.34,13.4,83.86,2020,N/A
"Dec 17, 2020",COOL,Corner Growth Acquisition Corp.,10.0,,,113.94,2020,N/A
"Dec 17, 2020",MDWT,"Midwest Holding, Inc.",70.0,26.99,-61.44,101.07,2020,N/A
"Dec 17, 2020",SCOA,ScION Tech Growth I,10.0,10.1,1.0,725.94,2020,N/A
"Dec 16, 2020",BCAB,"BioAtla, Inc.",18.0,0.52,-97.11,30.37,2020,Biotechnology
"Dec 16, 2020",CCV,Churchill Capital Corp V,10.0,10.4,3.95,283.54,2020,N/A
"Dec 16, 2020",LOGC,ContextLogic Inc.,24.0,6.99,-70.58,183.93,2020,Internet Retail
"Dec 16, 2020",UPST,"Upstart Holdings, Inc.",20.0,52.0,159.15,4940.0,2020,Credit Services
"Dec 15, 2020",KINZ,"Kins Technology Group, Inc.",10.0,4.1,-0.6,77.91,2020,N/A
"Dec 15, 2020",OCG,Oriental Culture Holding LTD,4.0,4.49,7.25,83.38,2020,Internet Retail
"Dec 15, 2020",WNW,Meiwu Technology Company Limited,5.0,2.1,-56.2,6.65,2020,Internet Retail
"Dec 11, 2020",ABCL,AbCellera Biologics Inc.,20.0,2.19,-88.65,652.59,2020,Biotechnology
"Dec 11, 2020",CERT,"Certara, Inc.",23.0,12.78,-44.44,2060.0,2020,Health Information Services
"Dec 11, 2020",EDTX,EdtechX Holdings Acquisition Corp. II,10.0,63.24,532.4,199.19,2020,N/A
"Dec 11, 2020",FDMT,"4D Molecular Therapeutics, Inc.",23.0,3.57,-83.65,165.3,2020,Biotechnology
"Dec 11, 2020",NBTX,Nanobiotix S.A.,13.5,3.55,-73.7,167.56,2020,Biotechnology
"Dec 11, 2020",SNRH,Senior Connect Acquisition Corp. I,10.0,10.04,0.35,116.25,2020,N/A
"Dec 11, 2020",VVOS,"Vivos Therapeutics, Inc.",6.0,2.61,-54.17,15.37,2020,Medical Devices
"Dec 10, 2020",ABNB,"Airbnb, Inc.",68.0,124.89,85.07,77080.0,2020,Travel Services
"Dec 10, 2020",CTAQ,Carney Technology Acquisition Corp. II,10.0,10.18,1.8,521.34,2020,N/A
"Dec 10, 2020",HYFM,"Hydrofarm Holdings Group, Inc.",20.0,3.85,-82.45,17.76,2020,Farm & Heavy Construction Machinery
"Dec 9, 2020",AI,"C3.ai, Inc.",42.0,21.98,-47.02,2920.0,2020,Software - Infrastructure
"Dec 9, 2020",ALTU,Altitude Acquisition Corp.,10.0,10.12,1.2,85.77,2020,N/A
"Dec 9, 2020",DASH,"DoorDash, Inc.",102.0,205.4,100.89,87040.0,2020,Internet Content & Information
"Dec 9, 2020",PUBM,"PubMatic, Inc.",20.0,9.74,-51.3,470.85,2020,Software - Application
"Dec 8, 2020",MUDS,Mudrick Capital Acquisition Corp. II,10.0,10.16,1.6,401.64,2020,N/A
"Dec 4, 2020",SEER,"Seer, Inc.",19.0,1.97,-89.47,117.77,2020,Biotechnology
"Dec 4, 2020",SGTX,"Sigilon Therapeutics, Inc.",18.0,22.47,24.83,56.22,2020,N/A
"Dec 4, 2020",YQ,17 Education & Technology Group Inc.,10.5,2.1,-80.1,18.59,2020,Education & Training Services
"Dec 3, 2020",DCBO,Docebo Inc.,52.21,31.7,-39.11,961.14,2020,Software - Application
"Dec 3, 2020",FPAC,Far Peak Acquisition Corporation,10.0,10.21,2.1,712.15,2020,N/A
